term	estimate	std.error	statistic	p.value
dmg_h3k28DMG	1.3171451656585678	0.3488876309385229	3.775270456322542	1.5983415066488546e-4
phenotypeALT	0.2757889452570599	0.3732349159853684	0.7389151803468231	0.45995850379493175
reported_genderMale	0.05267729227402956	0.3322156396987289	0.15856355324451363	0.8740127457299949
reported_genderUnknown	0.01891067620911871	0.7674657912771008	0.02464041579970674	0.980341781929925
atrx_mutATRX_mut	0.09461965230690486	0.41967417941316904	0.2254597898760692	0.8216216031156374
