term	estimate	std.error	statistic	p.value
dmg_h3k28DMG	1.1729061987778584	0.28187176736553965	4.1611340140241815	3.1667117737336394e-5
groupHGAT	1.8236941010117087	0.2197949899219455	8.297250549975441	1.0654851386890339e-16
reported_genderMale	0.17832457280060082	0.18484408481549655	0.9647296692160681	0.3346802306787662
reported_genderNot Reported	0.32319253890179406	0.33477889094203783	0.9653910316518439	0.3343489917646133
reported_genderUnknown	0.10376332367464162	0.3836401071326191	0.2704704793515556	0.7867983249266451
atrx_mutnon_ATRX_mut	-0.21806875468990922	0.2723369261011609	-0.8007314976042085	0.42328710383532975
