term	estimate	std.error	statistic	p.value
dmg_h3k28DMG	1.1176438210130786	0.292912802967105	3.8156195621759608	1.3584166051091773e-4
telhunt_score	-0.05538305606670289	0.1216541041726553	-0.4552502066687494	0.6489292443049428
reported_genderMale	0.038210236821168045	0.295992705923229	0.1290918190094811	0.8972849953283045
reported_genderNot Reported	0.21882448354235734	0.3495759303485636	0.6259712541540448	0.5313337962291385
reported_genderUnknown	-0.1730473428195402	0.75511263770563	-0.22916758928222344	0.8187386622817038
atrx_mutATRX_mut	0.15843549758101771	0.2968287415705885	0.5337606349799532	0.5935071521159734
