rowname	ATRX_fpkm	TERT_fpkm	DAXX_fpkm
BS_4T0HPZDC	23.31	0.02	22.35
BS_AJ6X83G5	47.21	0.01	8.69
BS_4Y6BCYK5	28.19	0	15.39
BS_4Z2F4P9N	40.77	0.01	14.68
BS_52426AMF	47.55	0	11.24
BS_5965SFPZ	53.41	0.01	15.16
BS_52DAPP1Y	49.04	0	14.04
BS_59ZJWJTF	19.86	0	18.15
BS_53CTGDQG	31.57	0	7.55
BS_53GQKVEX	40.21	0	18.12
BS_53M8PP88	48.09	0.1	20.44
BS_4GTESTSE	35.03	0.1	17.47
BS_55P8HPYD	48.34	0	16.89
BS_5CTVXVRX	28.88	0.19	14.75
BS_5GNQC2FF	24.53	0.01	11.33
BS_5P1TN10Z	3.67	0	22.51
BS_5AF6ZNJF	43.85	0.02	10.58
BS_5CMGN56B	51.45	0	17.04
BS_55JW3HFM	38.28	0	15.13
BS_593HEWBF	37.25	0	15.86
BS_5JM573JC	18.62	0.21	9.36
BS_5NWDARXG	46.12	0.01	12.65
BS_6DCSD5Y6	67.1	0.06	19.62
BS_5P3CZQV8	24.39	0	11.62
BS_5PEFNDCY	49.33	0	12.86
BS_5PV5N4HQ	48.84	0	16.16
BS_5K3R0F5D	45.29	0.01	11.36
BS_5YJEPPTP	34.13	0	14.91
BS_64HCD9K3	36.88	0.12	6.79
BS_66ABA973	55.4	0	12.1
BS_66HQ3E4Z	39.35	0	16.22
BS_67PX06P3	17.95	0	11.02
BS_67Z63A2K	33.51	0	12.47
BS_68BW2163	36.89	0	14.52
BS_6VPKXXMR	14.95	0.02	25.94
BS_680K119G	38.38	0.01	13.85
BS_69V8P8A0	23.99	0	13.13
BS_6WP1FHTE	31.87	0.08	19.47
BS_7327SDAQ	12.75	0	23.59
BS_6G6C7VPX	46.36	0.23	19.15
BS_699TN5RN	35.34	0.01	15.56
BS_6H1C1ME9	25.77	0.01	19.46
BS_6HTK4YJP	68.8	2.26	27.01
BS_6JHXXVR7	45.75	52.56	47.22
BS_6MZ7FRZH	34.69	0.86	16.97
BS_6N3AFF66	49.47	0	13.56
BS_6NRTJSYK	37.23	15.2	13.87
BS_6P50QTPP	42.91	0.01	10.46
BS_6R7SFVV2	44.13	0.07	10.96
BS_6T4JGBGY	32.3	0.03	13.29
BS_6VF6VPCG	33.04	0	15.23
BS_7GJT4A6A	39.27	0	14.5
BS_6NTXGQAC	28.77	0.01	9.99
BS_6YMJ621P	44.84	0.01	9.22
BS_CQSAJ7BF	50.89	0.17	9.66
BS_70FFPA51	48.8	0	10.77
BS_742RHK1M	49.08	3.71	37.79
BS_74FS6GMW	35.37	2.79	18.3
BS_74G5K7JF	36.33	0.01	10.76
BS_769BDPDB	29.54	0	12.56
BS_775HDFNY	43.35	0	19.93
BS_78QX3XDF	25	0.01	17.31
BS_77CDMEY4	26.39	0	18.94
BS_84XCR9GG	48.52	0.11	13.92
BS_7B89YR6K	34.83	0.14	13.51
BS_CREQ97QC	47.85	0.02	9.63
BS_7BTZQKYY	33.66	0	10
BS_7BW0YRPY	50.8	0.31	20.3
BS_7G42J2SK	41.63	0.12	12.42
BS_7H4RFCW9	39.75	0	25.79
BS_7P83Z28P	45.2	0	14.49
BS_7S6GNG04	32.22	0	12.76
BS_7T1J3KET	49.77	0	16.72
BS_8MA5B8Y9	33.21	0.11	16.4
BS_CZ82ANWP	70.51	0.15	22.43
BS_7XRN3CFX	34.61	0.01	15.32
BS_7Z93ZYMS	43.35	0	13.33
BS_7ZV3DPGT	13.44	2.17	9.07
BS_8PNA0V6R	16.71	0.01	14.62
BS_850BAHH9	39.28	0	13.2
BS_8ZD6J47V	53.84	0.49	15.47
BS_8ZS9F31R	29.63	1.16	19.41
BS_86Q14TZG	28.35	0.07	22.51
BS_893A91ZM	23.05	0	16.43
BS_91VYM11A	38.38	0.04	12.43
BS_8D0NYM46	44.41	0.02	23.99
BS_8F9BDWY4	57.76	0.01	15.73
BS_8J09S6MZ	48.68	0.02	15.44
BS_8J3B6ZB6	38.2	0	17.39
BS_8NY9J9NQ	35.17	0.01	13.43
BS_97M1E2DW	46.45	0.11	16.35
BS_8Q77HZ4R	41.8	0	9.69
BS_9CA93S6D	42.59	0.01	14.63
BS_8RCR7Y4B	88.05	0	13.86
BS_8RHPJ740	21.78	0	18.4
BS_8S86CM61	83.93	0.19	17.88
BS_8SKZ7BRN	35.24	1.57	57.93
BS_8VAZSJEN	42.42	0.01	12.39
BS_8WPNFT03	20.64	0	47.19
BS_8Z3SCKB5	44.62	0	18.46
BS_8ZP3CBQA	30.89	0	15.7
BS_9RT63JD9	32.17	0	11.71
BS_9XVACXP0	64.78	0.01	16.58
BS_90B22NGP	67.5	0	10.53
BS_7N0B2CY1	52.69	0	9.82
BS_A0DYVX9J	20.36	0.01	22.52
BS_92MT680S	11.76	0	5.25
BS_912NX4Y0	43.34	0.01	11.2
BS_92VDQ0NE	45.56	0.01	11.38
BS_94MT16N2	78.92	0	18.07
BS_A7Q8G0Y1	46.35	0.25	15.08
BS_9755PSCS	26.24	0	14.58
BS_983Z6CA6	19.59	3.61	13.96
BS_996ZS2A4	28.27	0.55	18.56
BS_99B1XRZQ	59.45	0.15	16.87
BS_9BJARSX3	28.15	0	16.62
BS_9DFBHHB5	48.18	0	13.43
BS_9DZ253JY	6.3	0	3.16
BS_9E7YVFJM	19.2	0.01	14.2
BS_9F09XV62	37.01	0.01	13.78
BS_9FHSNVS0	112	0.21	37.99
BS_9G69F50J	20.84	0.01	14.2
BS_9GJ23RHH	25.05	0.55	21.31
BS_9HA238XS	37.5	0	12.06
BS_9HSGV9TJ	57.17	0	8.29
BS_9P9MB8X8	52.2	0	14.91
BS_9Q6Z6VJC	30.61	0	15.92
BS_9SJWWYQ4	50.07	0	14.77
BS_9XWJ88Q1	28.67	0	9.95
BS_AWH9757B	44.94	0.34	13.99
BS_A13BMEF5	49.21	0	15.34
BS_A1VEGWTR	45.78	0.1	13.51
BS_A3QZB9Y2	37.9	0	12.57
BS_A46RDWGM	41.32	0	17.04
BS_A7MC2KR2	34.67	0	22.16
BS_B1C6GZ84	51.92	0.7	21.21
BS_A89VAPVV	44.2	0.23	17.3
BS_AA164D3A	21.72	0.01	25.06
BS_ABYF92Z9	43.91	0.01	15.63
BS_AD4JPN9Q	38.12	0.01	15.51
BS_AG3D3435	44.45	0.06	15.49
BS_AGS1HHGF	37.37	0	11.72
BS_AGTPCRR4	30.93	0.1	14.26
BS_BWBDH9GM	27.16	0	21.77
BS_EVCAC3NH	57.53	0	10.98
BS_AKRHBPNZ	38.87	0.01	11.66
BS_FWMJPKCV	59.29	0	17.1
BS_AP0SZ364	46.9	0.02	13.3
BS_ARBQDTT5	58.05	0.01	10.02
BS_ARFQ1WG3	38.74	0	18.37
BS_AVYNZHSB	44.2	0	14.55
BS_C41DJZ1F	22.19	0.01	19.13
BS_AZN38B7V	11.6	0	10.96
BS_B0SVFK4P	29.3	0.01	48.56
BS_C6ZZ3FY5	16.76	0	11.47
BS_B1HVNV0T	51.52	0	10.19
BS_B24PKKQB	20.04	0	8
BS_B3M5SGPA	27.8	0	19.39
BS_B53Z0T1Q	40.03	0	15.07
BS_B61168DE	16.15	0.01	20.09
BS_B6M763JS	40.19	0	15.58
BS_B741RZY9	35.25	0	10.07
BS_B7GEH89C	33.77	0	16.32
BS_B7QS4DHK	25.8	0.01	17.3
BS_B7X8VXQ3	53.2	0	9.38
BS_B8T7M0WV	35.86	0	12.26
BS_B9V8RGTA	50.47	0.55	16.07
BS_BB0YW800	23.5	0	8.63
BS_BC936YNZ	49.23	0	15.74
BS_BHR08WGW	36.31	0	17.71
BS_BJDNWMJH	54.41	0	12.74
BS_BKQZ550R	35.49	0.01	15.63
BS_BKR4E30C	27.54	0	15.29
BS_BN986DF6	38.21	0	16.37
BS_BPSTSCBJ	48.39	0.02	16.59
BS_CXVGG342	16.31	0	20.68
BS_D29RPBSZ	36.14	0.17	21.14
BS_BXXJ9P8C	35.97	0	16.61
BS_C05FKR8X	22.35	0.17	22.98
BS_C0XFDP38	18.86	0	12.98
BS_JXNZYGCR	37.21	0.01	12.08
BS_DFGS950G	26.15	0.73	22.77
BS_C3P5BC92	16.11	0	18.32
BS_KM2EX0K6	64.44	0	15.36
BS_DRY58DTF	25.18	0	16.64
BS_C51RB0YR	43.76	0	14.49
BS_C6SKJG3N	41.87	0	11.85
BS_DS438CXE	48.3	0.01	18.56
BS_C7A2TYAC	46.91	0	16.72
BS_C7N3J4NW	32.35	0.16	10.88
BS_C80S5N37	42.44	0	9.87
BS_CB6VK7PB	48.35	0	17.04
BS_E60JZ9Z3	33.96	0.05	27.8
BS_KQ6ZW085	38.72	0	12.97
BS_CGB2WS2A	40.31	0	12.81
BS_CQEETJ66	42.35	0	16.92
BS_KXH37MPN	41.23	0	17.1
BS_KZPR01BD	45.81	0	8.2
BS_CS170P7T	44.74	0	19.56
BS_CS66RYDA	21.42	0	13.93
BS_CTR5X93B	48.96	0	12.85
BS_CVGFNCBJ	30.3	0.01	14.22
BS_CW9QV8AG	36.09	0	10.67
BS_CXVJK2FY	20.46	0.12	19.05
BS_CYEY58NY	62.75	0.1	11.15
BS_CZ3ER8DY	30.37	0.17	12.47
BS_CZ3NA7KV	37.73	0.08	17.04
BS_D0BGESQF	23.14	0	9.43
BS_D0RDN4K5	58.79	0.2	41.69
BS_D2K9C7XR	55.13	0.72	20.12
BS_D3YBV7KB	33.47	0	12.88
BS_P4NX9MPA	44.75	0.07	19.67
BS_D4PJYHZ2	11.44	0	9.56
BS_DMZP9G1H	44.04	0.01	9.41
BS_D5NQV7N5	16.36	0.01	8.25
BS_D5P6EZ1M	46.53	0	15.73
BS_D8N31T39	38.92	0	27.05
BS_D9GEXXHX	26.73	0	13.6
BS_DBDXCXT5	32.01	0.79	9.76
BS_DBEX7AG2	45.01	2.43	72.07
BS_DEHJF4C7	31.03	0.06	16.06
BS_DGTPWJ59	55.87	0	15.15
BS_DHA5FMVW	50.78	0.79	27.87
BS_E4GC9EXR	43.72	0.01	14.56
BS_DPF1CX0G	49.4	0	15.28
BS_DRD9QXR5	27.95	0.01	13.33
BS_FEV5A0HN	95.42	0	16.93
BS_DSS3S5XD	34.96	0.07	17.92
BS_DV86M0Y7	46.97	0.01	11.59
BS_DVCQ8XDZ	36.72	0	10.94
BS_DY88N5ZT	54.45	0.72	20.18
BS_DY9NTFQR	40.96	0	10.19
BS_E054DFJN	19.16	0	12.91
BS_E0N3PTPN	45.69	0	14.77
BS_E1CGF3KV	37.62	0.01	16.29
BS_E2Z940S4	38.49	0	16.91
BS_E3EJHXQV	32.12	0	16.52
BS_E4F1D721	32.58	0	15.16
BS_ERJAJ0KA	42.4	0.05	14.8
BS_E4QK839R	27.88	0	14.73
BS_SM8VQFPD	54.02	0.14	17.78
BS_E94QRJDW	46.8	0	14.68
BS_EBMCTR80	70.7	0	14.36
BS_FX2P2WEG	41.18	0.05	28.04
BS_FYRDYBMZ	25.93	0.01	12.33
BS_EF775B3K	48.87	0.01	10.47
BS_EFEZB0ZH	35.82	0	13.6
BS_EHVYJAVA	41.41	0	13.93
BS_EJ9JKM1C	30.2	0.27	13.83
BS_G3RJTBZD	20.87	0	22.59
BS_EK5PCKY0	20.32	0.07	9.54
BS_TDEFAPNH	35.83	0.07	10.46
BS_EMMF4PZX	31.66	0.01	13.18
BS_EMYET8F4	50.46	0.09	13.77
BS_EN2VK7NY	33.36	0	17.93
BS_ENKG5GF3	26.72	0.04	14.25
BS_GG9W3J9Y	32.44	0.89	12.97
BS_F4E8R9VY	39.28	0	13.26
BS_ET8CJXSF	68.4	0	12.43
BS_FAQQ0GCQ	43.92	0.01	15.34
BS_EXGBH3TD	45.63	0.01	12.4
BS_EXYHZ6D4	19.67	0	21.74
BS_EYSS0ZDS	37.95	0	16.35
BS_EYYMKWB7	38.78	0	15.94
BS_GW0GKWMS	13.53	0	14.31
BS_F5BZSF3Q	32.64	0.07	14.72
BS_GXTFW99H	24.46	0	22.44
BS_F6V1Y4QS	41.58	0	27.92
BS_F6Z5HFWH	48.5	0	9.16
BS_F8N6CFQE	41.81	0	16.22
BS_F9WKPDFG	13.16	0	2.76
BS_FAVRBEW7	23.13	0	6.63
BS_FBJ5Q54N	53.8	0	21.64
BS_H0QWRJE2	50.88	0	8.42
BS_FEPRNEXX	62.43	0	8.44
BS_H1XPVS9A	48.77	0	21.61
BS_FEYMKEK8	44.41	0	6.76
BS_VTJ9ESSV	56.96	0	12.2
BS_H1ZS5FMZ	54.92	0.08	20.69
BS_FJWZ3M7V	34.21	0	13.86
BS_FJZPQZ2C	24.21	0.01	10.42
BS_FQX1PRAJ	37.4	0	12.74
BS_FRM9TG02	33.36	0	10.12
BS_FRZ76GEG	41.12	0	18.74
BS_FTKPQ5FZ	53.39	0.7	13.46
BS_FW5ECXXK	33.68	0.78	9.76
BS_G1Y281HX	22.5	0.06	10.41
BS_G23JJAZY	42.05	0.02	11.98
BS_HJRTC9JQ	22.25	0.01	15.08
BS_G5QBBHDV	29.77	0.01	31.84
BS_GTZCFGRZ	53.76	0.01	23.58
BS_G63HYD6N	34.22	0.26	16.68
BS_G7AGNB5G	66.69	0	16.96
BS_G9XE3N9T	50.68	0.01	13.22
BS_GAGRGSSX	36.71	0.97	18.53
BS_GC3CH9TY	27.69	0.01	14.04
BS_GCA4GET3	53.43	0	13.49
BS_GDHH6T5A	17.65	0.01	10.01
BS_GFM6EA61	24.25	0.05	10.99
BS_GHNJ4CYC	39.98	0	13.58
BS_GJNCYABP	25.77	0.02	16.13
BS_GM9Y3AZ5	5.64	0.01	1.72
BS_GMDQK06Q	32.12	0	15.18
BS_GMJBGBWB	51.81	0.01	16.9
BS_GPEGRCCT	44.09	0	20.06
BS_GR46VD0Q	41.62	0	13.52
BS_GSVCN2XC	59.85	0.04	7.83
BS_GV3NZ9QD	40.08	0	11.27
BS_GWCRMKE6	34.3	0	14.98
BS_GYA4V1RD	46.22	0	12.31
BS_GYXSDZ56	40.05	0	16.19
BS_JRYJGYC4	43.48	1.27	20.3
BS_JS95PE0J	58.02	0.02	22.35
BS_JVW2JJ39	78.85	0.1	68.21
BS_K17VQECG	45.49	0.54	39.04
BS_H3FE3TH9	51.77	0	12.27
BS_H3Y8FWHV	43.35	0	13.93
BS_H4NXBD2D	32.47	1.27	13.87
BS_H8A9PSYA	52.72	0	14.2
BS_KP735TJ6	36.07	0.01	15.72
BS_HA20Y4XY	49.2	0	16.2
BS_HBJZR69P	44.08	0.01	15.76
BS_HC44ZA0V	38.73	0	13.81
BS_HC5M8JTC	37.39	0.01	12.54
BS_HCP5C912	35.85	0	9.42
BS_W7FP2G3F	26.71	0	15.43
BS_HQ5BJ6MW	45.36	0	11.57
BS_HSHN8PBB	37.09	0.01	16.76
BS_HV8PFRBR	38.41	0	14.55
BS_HX0S30NE	44.28	0	17.43
BS_M0QYNVK8	61.65	0	10.59
BS_M1PVEHCM	37.97	0	12.7
BS_HZ707C55	25.37	0	17.61
BS_J483EMFP	38.71	0.11	20.81
BS_J4GQPZS0	47.57	0	13.7
BS_J60G8DMK	42.61	0	8.88
BS_J6VKB1VE	52.46	0.01	12.18
BS_J70GK8SM	35.33	0.04	11.78
BS_J8VX4D17	26.41	0	18.7
BS_JAEM78XS	44.01	0	9.91
BS_M7HCF7DW	40.47	0	18
BS_KPT2WPHW	36.53	0.01	10.9
BS_KVV7001W	41.64	0.05	19.79
BS_JCPKYHKY	38.68	0.05	19.94
BS_M85CXHDV	23.04	0	17.23
BS_JFEZA9KE	54.1	0.07	25.98
BS_JFR750KD	46.05	0	19.02
BS_JG9JZTA9	48.12	0.02	17.01
BS_M8EA6R2A	46.05	0.56	15.85
BS_JGPR9SR2	34.01	0	8.76
BS_JH29M4KG	35.96	0	18.48
BS_JHGW42S6	27.66	0.01	13.43
BS_JK0VPG1T	39.6	0	13.61
BS_JKXA3FQC	47.38	0.01	18.7
BS_JMHG7GCN	45.94	0	14.61
BS_MB7WN0ZB	41.57	0.22	14.84
BS_MDBT7S5Z	47.02	0.26	17.15
BS_MKM0EEN1	31.27	0.04	12.9
BS_MN5XVP5A	23.43	0	29.03
BS_JSPR854S	27.25	0	12.96
BS_JVA2NQFF	49.58	0	15.08
BS_JWCX8R17	29.32	0	12.31
BS_JWSR581E	47.59	0	13.61
BS_JX449BF5	52.74	0	6.93
BS_JX7S9MY7	21.7	0.02	11.8
BS_MWWZBQ60	33.6	0	16.45
BS_JXF8A2A6	46.49	0.29	21.95
BS_YK6VQ9SJ	62.91	0.01	24.46
BS_M4NVX721	40.69	0	12.25
BS_MX23ZY0Y	53.78	0.21	30.78
BS_K25F4J3V	54.64	0.21	25.34
BS_K2FHZGTK	47.24	0.01	10.85
BS_K2VYFVKZ	42.34	0	17.81
BS_K5802F84	34.28	0.02	9.16
BS_K7MVS0Z7	46.37	0	15.34
BS_N6N147BY	35.93	0.45	16.01
BS_KBT7MQ6H	54.41	0.53	16.61
BS_KDSTG5YY	40.56	0.65	17.23
BS_KE56MMY0	38.55	20.08	48.37
BS_KEA474HN	35.4	0.01	14.85
BS_KF0ZXDER	39.73	0	8.82
BS_KK0JWATQ	18.39	0	19.8
BS_KK5C8VCK	19.18	0	7.58
BS_YNEQJ6AH	61.81	0	14.5
BS_KND4B5CW	48.46	0.01	18.03
BS_MF47B9ZW	29.1	0.02	12.65
BS_KR4MP5ET	23.22	0	10.6
BS_KSKZ9J7J	43.69	0.11	13.98
BS_NNPEC7W1	33.42	0	17.32
BS_KVAJYZ6F	39.9	0	8.13
BS_KX6J8TRK	26.9	0.02	12.76
BS_KXCY5BN5	46.39	0.38	19.05
BS_ZZPBANDD	61.87	0.01	10.99
BS_KXMYBQ6N	34.53	0	16.89
BS_NR3P3GN2	33.32	0.26	13.99
BS_P0QF87WC	32.45	0.11	20.39
BS_M026T44Q	26.42	0	11.48
BS_M1T1K5WV	25.35	0.12	9.24
BS_ZR96A4FH	31.04	0.01	7.4
BS_M4923M40	50.45	2.39	31.45
BS_M4TTKPNR	33.66	0.01	12.25
BS_P9JP6JFA	31.02	0.01	27
BS_PGK832G2	26.12	0	17.22
BS_PKW05VZV	43.51	0	10.6
BS_M7QJ8VF0	23.98	9.62	7.96
BS_PNYN0AYD	39.09	0.01	16.65
BS_M8M56Z4Y	44.84	0	12.96
BS_M8WP5T16	29.86	0	14.52
BS_M9C4RY4P	48.83	0	12.54
BS_39CGACC7	27.99	0	9.46
BS_MA2T7ET1	23.01	0	14.91
BS_MBSTWZA6	38.86	0	13.96
BS_MD3DT41J	31.49	0.48	14.99
BS_PQVTB6BB	52.97	0.11	22.05
BS_NT9NZYFD	33.29	0	9.56
BS_MF9X3PKH	48.18	0	13.46
BS_MGAMKKBD	17.85	0.03	12.98
BS_MKP2Y41Z	32.24	0	13.82
BS_MM20BVW9	36.06	0	14.01
BS_MMNRZ1EQ	38.15	3.14	13.83
BS_MQCKXD60	32.29	0.14	42.73
BS_PZVHMSYN	19.52	0.01	13.18
BS_MT15SGJN	27.88	0.04	7.76
BS_MV6ASWV9	83.41	0.02	22.8
BS_MVW01FPB	57.42	0.31	16.46
BS_4W1DBAN4	44.85	0	11.49
BS_Q13FQ8FV	24.39	0	17.02
BS_QB84TBA3	49.47	0.06	35.79
BS_MY9D8XZ1	43.86	0	10.68
BS_N0877CX1	71.53	1.11	24.4
BS_N1E0H8YQ	22.8	0	22.52
BS_N210XMKR	41.82	0	22.57
BS_P277RYX5	62.41	0	9.85
BS_N5B2CZMH	29.27	0.01	13.75
BS_N5DVEJXT	34.56	1.66	21.19
BS_N6NE6B3W	64.08	0	11.29
BS_N8J1DP02	30.16	0	12.84
BS_PQ6QEVE8	31.52	0	13.94
BS_NB42PWZN	63.45	1.88	20.25
BS_PQ7CQFYR	21.56	0.01	17.6
BS_NB5XWMJT	31.5	0	14.37
BS_NDC69214	23.41	0	14.56
BS_NDFDQBCZ	20.24	0.12	20.23
BS_NDN62H0S	24.3	0.01	10.12
BS_NDRDM2A9	37.4	0	12.91
BS_QF5VVZX5	47.32	0.02	9.6
BS_QV51J756	39.33	0.02	12.36
BS_NGHK9RZP	34.62	1.35	20.23
BS_NGY0TE6S	40.59	0.03	22.66
BS_NH7K4CD9	57.16	0.06	13.23
BS_RGSMX7QD	39.14	0	10.53
BS_NJ4WPQVK	9.99	0	22.6
BS_QWTE1CWR	15.21	0	21.12
BS_QYPHA40N	60.2	0	13.36
BS_NPQJ20KX	32.2	0	15.68
BS_NQB91P48	38.68	0	16.02
BS_NQFH3GZH	50.2	0.08	8.66
BS_R5SNFB5B	43.7	0.29	12.25
BS_NR9FRY5T	42.85	0	16.71
BS_NRFQEQKP	48.19	0	16.97
BS_NRPG5K4K	46.59	0	15.74
BS_NS7GSHB9	43	0	15
BS_RVSEDNJ4	47.53	0	17.12
BS_60K3EQ9S	36.53	0	15.86
BS_NYS8TRCB	34.6	0	13.25
BS_P0W5VJH4	7.57	0	3.6
BS_S9929Z8B	31.25	0	15.13
BS_P39SQPTS	32.45	0.93	26.22
BS_P4D8Y3S8	26.9	0.31	16.51
BS_RCCN63K6	36.68	0	26.98
BS_P78SMRBS	14.44	0	5.58
BS_P7EY9DXG	33.89	0.28	23.51
BS_RXN5T5YT	25.4	0.13	21.65
BS_PEP9NZXN	50.54	0.01	13.52
BS_PGHK1JRW	43.69	1.19	15.24
