Tumor_Sample_Barcode	mut_count	TMB Coding	alt final	atrx_mut	log2_mut_count
BS_CGXTFM67	15	0.13998778914512844	NEG	non_ATRX_mut	3.9068905956085187
BS_S0T3CQ97	293	7.7553235186401155	POS	ATRX_mut	8.194756854422248
BS_TRGECFNP	44	1.1199023131610275	NEG	ATRX_mut	5.459431618637297
BS_85Q5P8GF	192	4.731587273105341	POS	ATRX_mut	7.584962500721156
BS_3E5C1PN1	22	0.5319535987514881	NEG	ATRX_mut	4.459431618637297
BS_3BMGF6GN	60	1.0079120818449248	NEG	non_ATRX_mut	5.906890595608519
BS_R6CKWZW6	20	0.4759584830934367	POS	ATRX_mut	4.321928094887363
BS_3NX3RBCX	37	0.9239194083578476	POS	non_ATRX_mut	5.20945336562895
BS_CBMAWSAR	22	0.5039560409224624	NEG	non_ATRX_mut	4.459431618637297
BS_872Q3FK2	91	2.2118070684930293	NEG	ATRX_mut	6.507794640198696
BS_JB3J82ZK	74	1.6518559119125156	POS	non_ATRX_mut	6.20945336562895
BS_M5FM63EB	25	0.5879487144095394	NEG	non_ATRX_mut	4.643856189774724
BS_WPCBK1EG	28	0.6439438300675908	NEG	non_ATRX_mut	4.807354922057604
BS_EPM623G4	49	1.1478998709900532	POS	ATRX_mut	5.614709844115208
BS_BQ81D2BP	11	0.2239804626322055	NEG	non_ATRX_mut	3.4594316186372973
BS_D6XHKZDZ	4	0.08399267348707706	NEG	non_ATRX_mut	2
BS_ABZ3BK38	36	0.7279365035546679	NEG	non_ATRX_mut	5.169925001442312
BS_MW63FCZC	15	0.2799755782902569	NEG	non_ATRX_mut	3.9068905956085187
BS_H0638GZT	27	0.6159462722385651	POS	non_ATRX_mut	4.754887502163468
BS_EJV0N3BX	38	0.895921850528822	POS	ATRX_mut	5.247927513443585
BS_1S5V7WWC	27	0.6159462722385651	NEG	non_ATRX_mut	4.754887502163468
BS_1M63B97V	66	1.791843701057644	NEG	non_ATRX_mut	6.044394119358453
BS_9DM8H1RX	8	0.16798534697415413	NEG	non_ATRX_mut	3
BS_80078QDG	64	1.5398656805964128	POS	ATRX_mut	6
BS_79NQJZ09	28	0.6719413878966165	NEG	non_ATRX_mut	4.807354922057604
BS_KAD49R68	30	0.7279365035546679	POS	non_ATRX_mut	4.906890595608519
BS_928HWFFM	188	1.7638461432286183	POS	ATRX_mut	7.554588851677638
BS_P8WN8XEQ	158	3.6116849599443137	POS	ATRX_mut	7.303780748177103
BS_230S192D	35	0.8399267348707706	POS	ATRX_mut	5.129283016944966
BS_YB99Q6TN	14	0.36396825177733394	NEG	non_ATRX_mut	3.807354922057604
BS_BFDEZK1C	26	0.6439438300675908	NEG	non_ATRX_mut	4.700439718141092
BS_C19DFVR5	20	0.5039560409224624	POS	ATRX_mut	4.321928094887363
BS_742CDKAS	76	1.959829048031798	NEG	non_ATRX_mut	6.247927513443585
