Kids_First_Biospecimen_ID	Kids_First_Participant_ID	sample_id	ATRX_fpkm	DAXX_fpkm	TERT_fpkm	ATRX_fusion	DAXX_fusion	TERT_fusion
BS_014EVM2D	PT_S21ZTKPS	7316-362	37.92	13.95	0	NA	NA	NA
BS_02NZT8CE	PT_2BJF83GQ	7316-1745	49.23	12.69	0	NA	NA	NA
BS_03FT4S8B	PT_5KRVE8E4	7316-1671	46.98	22.32	0.03	NA	NA	NA
BS_0448A413	PT_VHS5RM2K	7316-364	63.08	17.99	0.68	NA	NA	NA
BS_044XZ8ST	PT_QAX38GM7	7316-3570	39.31	12.85	0	NA	NA	NA
BS_052PZFMK	PT_N3205P0D	7316-1099	19.99	22.74	0.01	NA	NA	NA
BS_063ERW0R	PT_3V5GTCJR	7316-1646	55.29	13.73	0.04	NA	NA	NA
BS_06AMMCXR	PT_Q3EP24V1	7316-154	34.87	17.71	0	NA	NA	NA
BS_06XH7EVF	PT_G8DRDA33	7316-879	23.37	11.08	0	NA	NA	NA
BS_07ANYSYQ	PT_S4H6KA09	7316-2134	41.91	16.23	0.3	NA	NA	NA
BS_09R7GDA7	PT_0PT33SCF	7316-1100	33.16	16.1	0.01	NA	NA	NA
BS_09Z7TC35	PT_YHTK536P	7316-1714	70.56	25.97	2.92	NA	NA	NA
BS_0BXY0F9N	PT_164RNWTT	7316-1078	24.62	10.92	0	NA	NA	NA
BS_0C7VZC0A	PT_VAJN5QP8	7316-2176	74.92	21.48	0	NA	NA	NA
BS_0GDJQANN	PT_ABV3RS3T	7316-471	32.13	9.62	0.05	NA	NA	NA
BS_0HW7W7SD	PT_C73C5BBZ	7316-2658	61.19	13.37	0.62	NA	NA	NA
BS_0J9SHHSC	PT_WVC247PK	7316-1090	49.19	14.77	0	NA	NA	NA
BS_0QYS36NR	PT_V3Q78E6F	7316-455	19.72	14.5	0.01	NA	NA	NA
BS_0RF0EZTV	PT_MW0QVGW2	7316-286	35.34	14.7	0	NA	NA	NA
BS_0RQ4P069	PT_C2D4JXS1	7316-1746	22.14	13.88	0	NA	NA	NA
BS_0SCXXM6N	PT_SMDEQVHJ	7316-119	50.73	14.52	0	NA	NA	NA
BS_0SPCTBZY	PT_PKHG2YFW	7316-3306	25.73	20.8	0.08	NA	NA	NA
BS_0T17SY47	PT_BQ8BQ01J	7316-183	35.11	13.6	0.08	NA	NA	NA
BS_0VRSD9V3	PT_3WA7SBQ6	7316-2248	50.72	8.24	0.01	NA	NA	NA
BS_0VXZCRJS	PT_40HTPY49	7316-466	13.97	26.76	0.07	NA	NA	NA
BS_0WQJP6ZG	PT_Y6Y9JJ9P	7316-425	30.97	12.51	0.76	NA	NA	NA
BS_0WVJYM9R	PT_MNR94DEV	7316-370	32.36	11.05	0	NA	NA	NA
BS_0X9EGHY2	PT_3KK1F95W	7316-1744	46.63	12.78	0	NA	NA	NA
BS_0XEG6SNV	PT_82A9SDRN	7316-2313	54.96	22.34	0.07	NA	NA	NA
BS_0Y66ZBWE	PT_V2F0865M	7316-642	54.26	16.23	0	NA	NA	NA
BS_0ZA67BBC	PT_VPEMAQBN	A12748	16.56	25.93	0.01	NA	NA	NA
BS_1021ZGQT	PT_HJMP6PH2	7316-3775	60.78	15.49	0.1	NA	NA	NA
BS_10APZRVT	PT_3D74J8RZ	7316-877	36.29	11.66	0	NA	NA	NA
BS_11WY983P	PT_7A1PYTP9	7316-294	34.49	18.53	0.47	NA	NA	NA
BS_13CGKADW	PT_WGWMA5AZ	7316-148	54.06	9.36	0	NA	NA	NA
BS_15ETQ0E4	PT_CW0BJE0Y	7316-41	32.63	20.13	2.05	NA	NA	NA
BS_1607397Q	PT_7VSY72EK	7316-1855	53.96	52.08	60.95	NA	NA	NA
BS_17WYVEEC	PT_FKWCVXNC	7316-332	42.99	12.28	0	NA	NA	NA
BS_196BBNEJ	PT_BNARR0N6	7316-1954	29.41	17.75	0.02	NA	NA	NA
BS_1A6MQ9ZA	PT_JSFBMK5V	7316-1769	38.61	21.86	0	NA	NA	NA
BS_1AYRM596	PT_BPKVVWVB	7316-2250	66.09	16.51	0.2	NA	NA	NA
BS_1BWP5MCT	PT_23NZGSRJ	7316-2659	69.18	26.52	25.73	NA	NA	NA
BS_1D6PZNKN	PT_7DTGJYA7	7316-1695	46.56	19.58	0.49	NA	NA	NA
BS_1EBQ3T20	PT_4347ZBEX	7316-913	50.02	18.92	0.36	NA	NA	NA
BS_1EN5V3XW	PT_RDJ40M73	7316-2561	57.77	20.9	0	NA	NA	NA
BS_1G3WYEN3	PT_TXFYRDP4	7316-193	46.02	12.32	0.02	NA	NA	NA
BS_1HFK0SXV	PT_2GPH62JS	7316-1775	43.78	18.86	0.03	NA	NA	NA
BS_1HQ76V6D	PT_WE1CHTWK	7316-87	51.13	14.96	0	NA	NA	NA
BS_1J2WQ08M	PT_MKDQZ17N	7316-3300	29.36	17.66	0.55	NA	NA	NA
BS_1JDG6JV5	PT_CK41DW03	7316-329	34.91	19.29	0.01	NA	NA	NA
BS_1KYGSMA7	PT_YGN06RPZ	7316-2208	48.43	15.86	0.02	NA	NA	NA
