term	estimate	std.error	statistic	p.value
dmg_h3k28DMG	1.2840663166743742	0.3438134877253829	3.7347758669084197	1.8788244061802145e-4
alt_finalPOS	-0.07186987454554396	0.4953206806041936	-0.14509766573420046	0.8846337612608658
telhunt_catHigh	-0.4046429781502629	0.639503628702037	-0.632745398132522	0.5268999184335361
germline_sex_estimateMale	0.12910154059256	0.25762623825562414	0.5011195345113169	0.6162869996401744
atrx_mutATRX_mut	0.48718298444455604	0.3811851086878342	1.2780745452559827	0.20122314318708165
dmg_h3k28DMG:telhunt_catHigh	-0.051970813458608434	0.5148166062827542	-0.1009501496734244	0.9195900327278547
