term	estimate	std.error	statistic	p.value
dmg_h3k28DMG	0.6318116747231143	0.3525698543509553	1.7920184239410213	0.07313001481266808
phenotypeALT	0.5260712729459905	0.38439524768924305	1.368568618130479	0.17113415917528538
reported_genderMale	-0.4406232209024226	0.3326679581636757	-1.3245135580073868	0.18533254329182638
reported_genderUnknown	-1.199920882194588	1.045443927647687	-1.1477620659144137	0.25106680122286007
atrx_mutATRX_mut	0.21397341786903673	0.3885207357041018	0.5507387333684021	0.581812788404987
