term	estimate	std.error	statistic	p.value
dmg_h3k28DMG	1.1980399194120657	0.39412595015804947	3.0397387407036676	0.002367834521161532
alt_finalPOS	-0.4219849964402686	0.35684391448258473	-1.1825478292158544	0.23698839921778764
telhunt_score	0.012658957422987019	0.10934906906268753	0.11576648554483719	0.9078376125423339
germline_sex_estimateMale	0.16299126855828774	0.2569324252191442	0.6343740710004521	0.5258367270710682
atrx_mutATRX_mut	0.31774076990607136	0.31245148983884136	1.0169283240414637	0.3091875280000341
groupHGAT	NA	0	NA	NA
dmg_h3k28DMG:groupHGAT	NA	0	NA	NA
dmg_h3k28DMG:telhunt_score	0.04214947671007951	0.2261104286413878	0.1864110247516658	0.8521224474561221
